temporada,clube,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,pontos,saldo_gols,posicao,rebaixado_prox_temporada,risco_rebaixamento_previsto
2020,Santos,38,14,12,12,52,51,54,1,8,0.0,0.4488572111935145
2020,Sao Paulo,38,18,12,8,59,41,66,18,4,0.0,0.31783036391226827
2020,Sport,38,12,6,20,31,50,42,-19,15,1.0,0.6839611504600354
2020,Vasco,38,10,11,17,37,56,41,-19,17,,
2021,America-MG,38,13,14,11,41,37,53,4,8,0.0,0.4463867003919967
2021,Athletico-PR,38,13,8,17,41,45,47,-4,14,0.0,0.656574713704841
2021,Atletico-GO,38,13,14,11,33,36,53,-3,9,1.0,0.4821601952299533
2021,Atletico-MG,38,26,6,6,67,34,84,33,1,0.0,0.22749331305165277
2021,Bahia,38,11,10,17,42,51,43,-9,18,,
2021,Bragantino,38,14,14,10,55,46,56,9,6,0.0,0.37682103258609584
2021,Ceara,38,11,17,10,39,38,50,1,11,1.0,0.5538881463901767
2021,Chapecoense,38,1,12,25,27,67,15,-40,20,,
2021,Corinthians,38,15,12,11,40,36,57,4,5,0.0,0.3436761228643943
2021,Cuiaba,38,10,17,11,34,37,47,-3,15,0.0,0.6882516392892192
2021,Flamengo,38,21,8,9,69,36,71,33,2,0.0,0.2537656417746314
2021,Fluminense,38,15,9,14,38,38,54,0,7,0.0,0.4111599925757671
2021,Fortaleza,38,17,7,14,44,45,58,-1,4,0.0,0.3119870545266391
2021,Gremio,38,12,7,19,44,51,43,-7,17,,
2021,Internacional,38,12,12,14,44,42,48,2,12,0.0,0.5891092625872241
2021,Juventude,38,11,13,14,36,44,46,-8,16,1.0,0.718260511190583
2021,Palmeiras,38,20,6,12,58,43,66,15,3,0.0,0.2819646191071525
2021,Santos,38,12,14,12,35,40,50,-5,10,0.0,0.5181175054602297
2021,Sao Paulo,38,11,15,12,31,39,48,-8,13,0.0,0.6234401157229407
2021,Sport,38,9,11,18,24,37,38,-13,19,,
2022,America-MG,38,15,8,15,40,40,53,0,10,1.0,0.5177544685550369
2022,Athletico-PR,38,16,10,12,48,48,58,0,6,0.0,0.3699970584832794
2022,Atletico-GO,38,8,12,18,39,57,36,-18,18,,
2022,Atletico-MG,38,15,13,10,45,37,58,8,7,0.0,0.40578683391472553
2022,Avai,38,9,8,21,34,60,35,-26,19,,
2022,Botafogo-RJ,38,15,8,15,41,43,53,-2,11,0.0,0.5552403452186268
2022,Bragantino,38,11,11,16,49,59,44,-10,14,0.0,0.6624709044448016
2022,Ceara,38,7,16,15,34,41,37,-7,17,,
2022,Corinthians,38,18,11,9,44,36,65,8,4,0.0,0.3028278189967523
2022,Coritiba,38,12,6,20,39,60,42,-21,15,1.0,0.6953272223916528
2022,Cuiaba,38,10,11,17,31,42,41,-11,16,0.0,0.7263065551826234
2022,Flamengo,38,18,8,12,60,39,62,21,5,0.0,0.3355811982531885
2022,Fluminense,38,21,7,10,63,41,70,22,3,0.0,0.27196270833632774
2022,Fortaleza,38,15,10,13,46,39,55,7,8,0.0,0.44260637576649153
2022,Goias,38,11,13,14,40,53,46,-13,13,1.0,0.6279671335367972
2022,Internacional,38,20,13,5,58,31,73,27,2,0.0,0.24314630755343203
2022,Juventude,38,3,13,22,29,69,22,-40,20,,
2022,Palmeiras,38,23,12,3,66,27,81,39,1,0.0,0.21647533862922066
2022,Santos,38,12,11,15,44,41,47,3,12,1.0,0.5921079316876924
2022,Sao Paulo,38,13,15,10,55,42,54,13,9,0.0,0.48006768150433926
2023,America-MG,38,5,9,24,42,81,24,-39,20,,
2023,Athletico-PR,38,14,14,10,51,43,56,8,8,1.0,0.4355799581199246
2023,Atletico-MG,38,19,9,10,52,32,66,20,3,0.0,0.2541303352338789
2023,Bahia,38,12,8,18,50,53,44,-3,16,0.0,0.7405852966391577
2023,Botafogo-RJ,38,18,10,10,58,37,64,21,5,0.0,0.32089314425423854
2023,Bragantino,38,17,11,10,49,35,62,14,6,0.0,0.35751787093746673
2023,Corinthians,38,12,14,12,47,48,50,-1,13,0.0,0.6360968123351303
2023,Coritiba,38,8,6,24,41,73,30,-32,19,,
2023,Cruzeiro,38,11,14,13,35,32,47,3,14,0.0,0.6730427805442568
2023,Cuiaba,38,14,9,15,40,39,51,1,12,1.0,0.5974728406663667
2023,Flamengo,38,19,9,10,56,42,66,14,4,0.0,0.28634813060227426
2023,Fluminense,38,16,8,14,51,47,56,4,7,0.0,0.395885911539504
2023,Fortaleza,38,15,9,14,45,44,54,1,10,0.0,0.5169717158903009
2023,Goias,38,9,11,18,36,53,38,-17,18,,
2023,Gremio,38,21,5,12,63,56,68,7,2,0.0,0.22439764895738898
2023,Internacional,38,15,10,13,46,45,55,1,9,0.0,0.47611726360469336
2023,Palmeiras,38,20,10,8,64,33,70,31,1,0.0,0.19722378989745412
2023,Santos,38,11,10,17,39,64,43,-25,17,,
2023,Sao Paulo,38,14,11,13,40,38,53,2,11,0.0,0.5576005416962425
2023,Vasco,38,12,9,17,41,51,45,-10,15,0.0,0.7079598749770551
2024,Athletico-PR,38,11,9,18,40,46,42,-6,17,,
2024,Atletico-GO,38,7,9,22,29,58,30,-29,19,,
2024,Atletico-MG,38,11,14,13,47,54,47,-7,12,0.0,0.5970841910978727
2024,Bahia,38,15,8,15,49,49,53,0,8,0.0,0.4368722120942173
2024,Botafogo-RJ,38,23,10,5,59,29,79,30,1,0.0,0.19997358673021362
2024,Bragantino,38,10,14,14,44,48,44,-4,16,0.0,0.738951648069829
2024,Corinthians,38,15,11,12,54,45,56,9,7,0.0,0.39755455729549566
2024,Criciuma,38,9,11,18,42,61,38,-19,18,,
2024,Cruzeiro,38,14,10,14,43,41,52,2,9,0.0,0.47699955392516974
2024,Cuiaba,38,6,12,20,29,49,30,-20,20,,
2024,Flamengo,38,20,10,8,61,42,70,19,3,0.0,0.2567630402754315
2024,Fluminense,38,12,10,16,33,39,46,-6,13,0.0,0.6353248728532105
2024,Fortaleza,38,19,11,8,53,39,68,14,4,1.0,0.2888322652824456
2024,Gremio,38,12,9,17,44,50,45,-6,14,0.0,0.6719303311927042
2024,Internacional,38,18,11,9,53,36,65,17,5,0.0,0.3231653030393774
2024,Juventude,38,11,12,15,48,59,45,-11,15,1.0,0.7065585117264435
2024,Palmeiras,38,22,7,9,60,33,73,27,2,0.0,0.22711735277708403
2024,Sao Paulo,38,17,8,13,53,43,59,10,6,0.0,0.35951633105947534
2024,Vasco,38,14,8,16,43,56,50,-13,10,0.0,0.5174260205403809
2024,Vitoria,38,13,8,17,45,52,47,-7,11,0.0,0.5576256553531723
2025,Atletico-MG,38,12,12,14,43,44,48,-1,11,,0.5562173437304363
2025,Bahia,38,17,9,12,50,46,60,4,7,,0.40273245837311394
